Bucket arxiv-derivative-flattened contains 1798 matching objects
id,executionLatency,user,system,finalExecutionLatency,finalUser,finalSystem
0,1038,437,116,13,3636,938
0,2038,659,154,13,3636,938
0,3038,1102,247,13,3636,938
0,4038,1316,312,13,3636,938
0,5038,1576,408,13,3636,938
0,6038,1784,459,13,3636,938
0,7038,2006,524,13,3636,938
0,8038,2286,598,13,3636,938
0,9038,2471,642,13,3636,938
0,10045,2831,730,13,3636,938
0,11044,3059,818,13,3636,938
0,12050,3364,889,13,3636,938
0,13050,3624,923,13,3636,938
1,1056,784,142,11,5437,1130
1,2060,1519,313,11,5437,1130
1,3065,2346,410,11,5437,1130
1,4068,2919,513,11,5437,1130
1,5071,3495,626,11,5437,1130
1,6073,3888,704,11,5437,1130
1,7073,4394,894,11,5437,1130
1,8073,4829,1017,11,5437,1130
1,9073,5166,1097,11,5437,1130
1,10073,5333,1118,11,5437,1130
2,1051,774,142,8,5117,1047
2,2052,1336,231,8,5117,1047
2,3051,2075,425,8,5117,1047
2,4053,2783,640,8,5117,1047
2,5053,3481,763,8,5117,1047
2,6052,4017,861,8,5117,1047
2,7052,4622,964,8,5117,1047
3,1042,299,73,21,3373,1236
3,2051,480,141,21,3373,1236
3,3051,631,188,21,3373,1236
3,4051,834,264,21,3373,1236
3,5051,1010,338,21,3373,1236
3,6052,1218,363,21,3373,1236
3,7053,1412,409,21,3373,1236
3,8053,1485,455,21,3373,1236
3,9053,1600,535,21,3373,1236
3,10054,1748,636,21,3373,1236
3,11053,1870,664,21,3373,1236
3,12054,2052,725,21,3373,1236
3,13054,2139,771,21,3373,1236
3,14055,2283,825,21,3373,1236
3,15055,2464,906,21,3373,1236
3,16055,2554,961,21,3373,1236
3,17056,2740,1011,21,3373,1236
3,18055,2885,1061,21,3373,1236
3,19056,3073,1111,21,3373,1236
3,20055,3187,1141,21,3373,1236
3,21064,3301,1204,21,3373,1236
4,1049,599,134,22,5330,1020
4,2052,826,172,22,5330,1020
4,3051,1147,224,22,5330,1020
4,4051,1429,283,22,5330,1020
4,5054,1668,329,22,5330,1020
4,6054,1875,363,22,5330,1020
4,7056,2081,384,22,5330,1020
4,8056,2356,424,22,5330,1020
4,9057,2599,513,22,5330,1020
4,10056,2802,569,22,5330,1020
4,11056,2938,599,22,5330,1020
4,12057,3166,632,22,5330,1020
4,13057,3426,689,22,5330,1020
4,14057,3606,710,22,5330,1020
4,15057,3812,735,22,5330,1020
4,16057,4043,789,22,5330,1020
4,17058,4228,819,22,5330,1020
4,18058,4354,849,22,5330,1020
4,19058,4506,869,22,5330,1020
4,20059,4646,909,22,5330,1020
4,21060,4970,974,22,5330,1020
4,22060,5233,997,22,5330,1020
5,1046,789,106,4,2003,347
5,2047,1350,184,4,2003,347
5,3046,1673,270,4,2003,347
6,1047,255,105,24,4172,2766
6,2051,553,247,24,4172,2766
6,3051,777,319,24,4172,2766
6,4051,932,425,24,4172,2766
6,5051,1011,488,24,4172,2766
6,6052,1149,612,24,4172,2766
6,7052,1371,793,24,4172,2766
6,8052,1572,893,24,4172,2766
6,9052,1729,967,24,4172,2766
6,10052,1871,1061,24,4172,2766
6,11057,2034,1148,24,4172,2766
6,12058,2218,1287,24,4172,2766
6,13058,2325,1408,24,4172,2766
6,14058,2422,1503,24,4172,2766
6,15058,2512,1539,24,4172,2766
6,16058,2640,1643,24,4172,2766
6,17059,2814,1748,24,4172,2766
6,18059,3031,1960,24,4172,2766
6,19059,3333,2105,24,4172,2766
6,20060,3515,2273,24,4172,2766
6,21061,3620,2354,24,4172,2766
6,22061,3860,2540,24,4172,2766
6,23061,3998,2645,24,4172,2766
7,1053,509,103,22,5376,1134
7,2053,866,203,22,5376,1134
7,3055,1091,249,22,5376,1134
7,4055,1322,352,22,5376,1134
7,5055,1491,413,22,5376,1134
7,6056,1683,459,22,5376,1134
7,7057,1995,526,22,5376,1134
7,8058,2279,557,22,5376,1134
7,9058,2526,595,22,5376,1134
7,10058,2748,644,22,5376,1134
7,11058,2848,678,22,5376,1134
7,12059,3076,759,22,5376,1134
7,13059,3348,797,22,5376,1134
7,14059,3536,874,22,5376,1134
7,15059,3764,923,22,5376,1134
7,16059,4047,951,22,5376,1134
7,17059,4231,975,22,5376,1134
7,18060,4390,996,22,5376,1134
7,19062,4638,1029,22,5376,1134
7,20062,4939,1080,22,5376,1134
7,21062,5200,1105,22,5376,1134
7,22064,5333,1130,22,5376,1134
8,1039,642,127,7,4409,1100
8,2044,1116,274,7,4409,1100
8,3043,1737,465,7,4409,1100
8,4055,2396,617,7,4409,1100
8,5055,3072,773,7,4409,1100
8,6054,3704,917,7,4409,1100
8,7054,4289,1079,7,4409,1100
9,1048,757,164,14,4262,883
9,2056,1210,200,14,4262,883
9,3056,1537,266,14,4262,883
9,4056,1795,298,14,4262,883
9,5056,1953,312,14,4262,883
9,6064,2142,369,14,4262,883
9,7065,2411,434,14,4262,883
9,8066,2634,473,14,4262,883
9,9066,2866,580,14,4262,883
9,10066,3200,671,14,4262,883
9,11066,3423,721,14,4262,883
9,12066,3823,744,14,4262,883
9,13075,4148,850,14,4262,883
10,1048,775,103,13,4416,794
10,2049,1126,214,13,4416,794
10,3050,1725,268,13,4416,794
10,4049,2121,304,13,4416,794
10,5049,2400,355,13,4416,794
10,6050,2653,400,13,4416,794
10,7050,2922,472,13,4416,794
10,8051,3169,526,13,4416,794
10,9051,3470,640,13,4416,794
10,10052,3834,716,13,4416,794
10,11053,4061,737,13,4416,794
10,12053,4319,770,13,4416,794
11,1050,786,118,9,4512,999
11,2050,1360,292,9,4512,999
11,3050,1877,427,9,4512,999
11,4051,2389,584,9,4512,999
11,5050,2725,678,9,4512,999
11,6051,3138,781,9,4512,999
11,7050,3644,830,9,4512,999
11,8051,4015,920,9,4512,999
11,9051,4401,996,9,4512,999
12,1047,698,163,12,5228,1117
12,2048,1337,330,12,5228,1117
12,3048,1848,452,12,5228,1117
12,4049,2116,521,12,5228,1117
12,5048,2315,598,12,5228,1117
12,6049,2649,697,12,5228,1117
12,7055,3106,761,12,5228,1117
12,8055,3459,804,12,5228,1117
12,9055,3923,914,12,5228,1117
12,10057,4460,1024,12,5228,1117
12,11068,4823,1053,12,5228,1117
13,1056,631,94,12,4641,1042
13,2059,1081,255,12,4641,1042
13,3059,1586,316,12,4641,1042
13,4061,1817,389,12,4641,1042
13,5061,2319,506,12,4641,1042
13,6074,2818,625,12,4641,1042
13,7073,3305,695,12,4641,1042
13,8073,3621,775,12,4641,1042
13,9074,3914,822,12,4641,1042
13,10076,4302,952,12,4641,1042
13,11076,4554,1038,12,4641,1042
15,1047,798,145,13,5398,910
15,2056,1329,250,13,5398,910
15,3056,1933,394,13,5398,910
15,4056,2171,469,13,5398,910
15,5056,2511,492,13,5398,910
15,6056,2856,550,13,5398,910
15,7058,3252,651,13,5398,910
15,8058,3605,689,13,5398,910
15,9057,3933,715,13,5398,910
15,10060,4509,776,13,5398,910
15,11060,4935,838,13,5398,910
15,12060,5174,879,13,5398,910
16,1050,439,53,21,4449,822
16,2051,762,103,21,4449,822
16,3051,1050,150,21,4449,822
16,4052,1271,172,21,4449,822
16,5053,1449,226,21,4449,822
16,6053,1705,284,21,4449,822
16,7055,1752,293,21,4449,822
16,8054,2037,340,21,4449,822
16,9055,2279,396,21,4449,822
16,10055,2449,418,21,4449,822
16,11063,2738,490,21,4449,822
16,12064,2882,561,21,4449,822
16,13065,2932,577,21,4449,822
16,14067,2932,577,21,4449,822
16,15067,3257,646,21,4449,822
16,16066,3535,689,21,4449,822
16,17067,3666,719,21,4449,822
16,18075,3877,765,21,4449,822
16,19074,4147,792,21,4449,822
16,20075,4228,802,21,4449,822
17,1053,589,126,20,4851,1301
17,2053,939,223,20,4851,1301
17,3053,1282,312,20,4851,1301
17,4054,1495,369,20,4851,1301
17,5054,1691,435,20,4851,1301
17,6055,1891,533,20,4851,1301
17,7055,2101,628,20,4851,1301
17,8056,2340,687,20,4851,1301
17,9057,2501,734,20,4851,1301
17,10057,2665,756,20,4851,1301
17,11057,2825,776,20,4851,1301
17,12057,3047,808,20,4851,1301
17,13058,3279,858,20,4851,1301
17,14057,3396,915,20,4851,1301
17,15058,3555,979,20,4851,1301
17,16059,3713,1020,20,4851,1301
17,17059,4047,1076,20,4851,1301
17,18060,4208,1107,20,4851,1301
17,19062,4425,1180,20,4851,1301
17,20063,4751,1281,20,4851,1301
18,1052,370,55,14,4888,656
18,2053,811,120,14,4888,656
18,3054,1203,159,14,4888,656
18,4054,1569,229,14,4888,656
18,5055,1675,241,14,4888,656
18,6054,2038,289,14,4888,656
18,7054,2312,329,14,4888,656
18,8054,2703,375,14,4888,656
18,9055,3032,416,14,4888,656
18,10055,3443,465,14,4888,656
18,11056,3804,539,14,4888,656
18,12055,4235,593,14,4888,656
18,13055,4562,640,14,4888,656
19,1051,629,138,14,4507,995
19,2053,935,217,14,4507,995
19,3054,1328,282,14,4507,995
19,4053,1606,341,14,4507,995
19,5059,1964,419,14,4507,995
19,6060,2255,480,14,4507,995
19,7061,2585,587,14,4507,995
19,8061,2910,623,14,4507,995
19,9062,3220,667,14,4507,995
19,10062,3545,750,14,4507,995
19,11062,3820,807,14,4507,995
19,12062,4088,908,14,4507,995
19,13062,4362,978,14,4507,995
20,1049,651,123,14,5000,1029
20,2057,1106,171,14,5000,1029
20,3058,1488,254,14,5000,1029
20,4057,1827,360,14,5000,1029
20,5058,2105,475,14,5000,1029
20,6058,2468,577,14,5000,1029
20,7064,2734,635,14,5000,1029
20,8064,3025,696,14,5000,1029
20,9065,3398,745,14,5000,1029
20,10066,3617,811,14,5000,1029
20,11065,4002,852,14,5000,1029
20,12065,4354,890,14,5000,1029
20,13070,4755,961,14,5000,1029
20,14070,4988,1029,14,5000,1029
21,1050,731,134,8,3312,593
21,2054,1108,186,8,3312,593
21,3056,1641,237,8,3312,593
21,4055,2013,286,8,3312,593
21,5056,2360,374,8,3312,593
21,6055,2619,464,8,3312,593
21,7056,2963,535,8,3312,593
22,1039,419,88,15,3620,884
22,2042,534,139,15,3620,884
22,3042,838,205,15,3620,884
22,4043,957,238,15,3620,884
22,5042,1062,281,15,3620,884
22,6043,1267,322,15,3620,884
22,7042,1481,380,15,3620,884
22,8042,1746,443,15,3620,884
22,9043,1939,495,15,3620,884
22,10043,2078,553,15,3620,884
22,11043,2267,618,15,3620,884
22,12045,2699,680,15,3620,884
22,13045,3038,774,15,3620,884
22,14045,3442,836,15,3620,884
23,1046,664,137,9,3943,924
23,2049,1273,289,9,3943,924
23,3049,1888,385,9,3943,924
23,4050,2141,480,9,3943,924
23,5050,2558,602,9,3943,924
23,6051,2889,652,9,3943,924
23,7051,3157,735,9,3943,924
23,8052,3537,841,9,3943,924
23,9053,3851,899,9,3943,924
24,1046,481,134,18,5383,2796
24,2046,848,323,18,5383,2796
24,3047,1181,435,18,5383,2796
24,4046,1555,616,18,5383,2796
